domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,resource_detection_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
data-network-sat18-strips,p01.pddl,abstract,timed out,1800.1326167583466,abstract_asp,,0.5879282131791115,10.366189055144787,,4.222894947975874,77.9958600923419,5.756313841789961,0.614105436950922,0.25318116322159767,,0.2627704590559006,0.02762645110487938,,,,,,4,0,,,20,,21,,17,numbers,
data-network-sat18-strips,p01.pddl,concrete,timed out,1800.1393115781248,concrete_asp,,,,,,,,0.5825017392635345,,,0.25171934440732,,,,,,,,,,,,,,20,,,
data-network-sat18-strips,p01.pddl,lama,success,4.867392625659704,total,1.89735,,,,,,,,,1.889484,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,82,,,,,
data-network-sat18-strips,p02.pddl,abstract,timed out,1800.1514138318598,abstract_asp,,0.6589942052960396,24.31917042657733,,6.585400253534317,182.1130478605628,13.70525861531496,0.8686268888413906,0.271418247371912,,0.3324826955795288,0.033679381012916565,,,,,,4,0,,,21,,22,,17,numbers,
data-network-sat18-strips,p02.pddl,concrete,timed out,1800.1606431119144,concrete_asp,,,,,,,,0.7558022476732731,,,0.32345617190003395,,,,,,,,,,,,,,19,,,
data-network-sat18-strips,p02.pddl,lama,success,3.447627555578947,total,0.91529,,,,,,,,,0.906971,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,55,,,,,
data-network-sat18-strips,p03.pddl,abstract,timed out,1800.0593350566924,abstract_asp,,0.6182316206395626,30.542091563344,,7.766269247978926,233.37912099063396,17.370362728834152,0.808141652494669,0.33647602424025536,,0.3164251893758774,0.03490736708045006,,,,,,4,0,,,19,,20,,17,numbers,
data-network-sat18-strips,p03.pddl,concrete,timed out,1800.136499606073,concrete_asp,,,,,,,,0.7355366460978985,,,0.3127211183309555,,,,,,,,,,,,,,19,,,
data-network-sat18-strips,p03.pddl,lama,success,3.685838509351015,total,0.963196,,,,,,,,,0.955114,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,85,,,,,
data-network-sat18-strips,p04.pddl,abstract,timed out,1800.1560420393944,abstract_asp,,0.6377401202917099,48.87110147252679,,10.660128988325596,367.334269978106,28.038548674434423,0.9273495487868786,0.2959442138671875,,0.3616446666419506,0.038426145911216736,,,,,,4,0,,,22,,23,,17,numbers,
data-network-sat18-strips,p04.pddl,concrete,timed out,1800.139236018993,concrete_asp,,,,,,,,0.8297757236286998,,,0.3516284367069602,,,,,,,,,,,,,,22,,,
data-network-sat18-strips,p04.pddl,lama,success,4.589358638972044,total,1.50003,,,,,,,,,1.492739,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,174,,,,,
data-network-sat18-strips,p05.pddl,abstract,timed out,1800.2540771849453,abstract_asp,,1.0790477432310581,193.865528434515,,23.13509988412261,1458.1862767897546,108.40494368597865,1.0863421186804771,0.33903880789875984,,0.5315735638141632,0.053851015865802765,,,,,,4,0,,,15,,16,,17,numbers,
data-network-sat18-strips,p05.pddl,concrete,timed out,1800.1523291021585,concrete_asp,,,,,,,,1.164368774741888,,,0.5602195523679256,,,,,,,,,,,,,,18,,,
data-network-sat18-strips,p05.pddl,lama,success,7.306171756237745,total,3.529371,,,,,,,,,3.522717,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,175,,,,,
data-network-sat18-strips,p06.pddl,abstract,timed out,1800.330883346498,pnf_translation,,1.109038770198822,273.1768475919962,,28.91886691376567,0.0017296373844146729,,,,,,,,,,,,,,,,,,,,,,
data-network-sat18-strips,p06.pddl,concrete,timed out,1800.1530773453414,concrete_asp,,,,,,,,1.2036441303789616,,,0.5983482748270035,,,,,,,,,,,,,,19,,,
data-network-sat18-strips,p06.pddl,lama,timed out,1800.1133987158537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-network-sat18-strips,p07.pddl,abstract,timed out,1800.3349678255618,pnf_translation,,1.0249020643532276,308.812790684402,,29.987525556236506,0.001616884022951126,,,,,,,,,,,,,,,,,,,,,,
