domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
agricola-sat18-strips,p01.pddl,abstract,interrupted,217.07313430681825,abstract_asp,,0.7031403928995132,0.4991513825953007,16.007060706615448,2.910765703767538,0.34645285457372665,43.97497954964638,39.260171726346016,,28.869678381830454,24.03905166313052,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p01.pddl,concrete,interrupted,129.8022048547864,concrete_asp,,,,,,,43.81701684743166,,,27.145174618810415,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p01.pddl,lama,success,65.98512218892574,total,63.488853,,,,,,,,63.46995,,,,,,,,,,,,,53,,,,,
agricola-sat18-strips,p02.pddl,abstract,interrupted,246.430600784719,abstract_asp,,0.7508862651884556,0.5189151503145695,20.06254195049405,2.9022492170333862,0.370909720659256,54.51866838335991,45.38503886014223,,34.97779532149434,29.057990297675133,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p02.pddl,concrete,interrupted,144.5843619555235,concrete_asp,,,,,,,52.23891419917345,,,32.22511440142989,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p02.pddl,lama,success,77.1460265815258,total,75.389736,,,,,,,,75.374833,,,,,,,,,,,,,66,,,,,
agricola-sat18-strips,p03.pddl,abstract,interrupted,264.5717518441379,abstract_asp,,0.7252768464386463,0.5028764642775059,22.590280029922724,2.8991743326187134,0.469290304929018,57.95626114308834,50.78641436994076,,41.608625169843435,34.526318080723286,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p03.pddl,concrete,interrupted,151.81001335382462,concrete_asp,,,,,,,61.39708172157407,,,39.16927606239915,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p03.pddl,lama,success,84.52602463588119,total,82.12087,,,,,,,,82.100316,,,,,,,,,,,,,83,,,,,
agricola-sat18-strips,p04.pddl,abstract,interrupted,284.40420839190483,abstract_asp,,0.716104619204998,0.5137172378599644,25.47013521939516,2.8999199867248535,0.4720933735370636,63.98965397104621,59.751994863152504,,43.89732384681702,36.443674962967634,,,,,,1,0,,,,,,,10,room,
