domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,fd_search_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
agricola-sat18-strips,p01.pddl,abstraction-asp,interrupted,216.0185749605298,abstract_asp,,0.7141422033309937,0.5227564908564091,15.977368712425232,2.894308466464281,0.3550093546509743,44.175615698099136,37.19379664957523,,28.85021649301052,24.26750137284398,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p01.pddl,asp,interrupted,130.25198240950704,concrete_asp,,,,,,,44.76782239973545,,,27.067549772560596,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p01.pddl,fd,success,71.00882869958878,total,62.475097,,,,,,,,62.462722,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,53,,,,,
agricola-sat18-strips,p02.pddl,abstraction-asp,interrupted,229.12267031148076,abstract_asp,,0.723574161529541,0.5144566483795643,19.090868584811687,2.9020354710519314,0.3591923341155052,51.159781742841005,41.53794775903225,,32.693105064332485,27.235407784581184,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p02.pddl,asp,interrupted,145.11019922420382,concrete_asp,,,,,,,51.287190809845924,,,32.21468210965395,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p02.pddl,fd,success,65.13233422860503,total,62.629095,,,,,,,,62.612628,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,66,,,,,
agricola-sat18-strips,p03.pddl,abstraction-asp,interrupted,264.1760949268937,abstract_asp,,0.7025981731712818,0.5031400509178638,22.42264298349619,2.911676049232483,0.469711359590292,60.71768444776535,52.919634096324444,,41.58865807950497,34.36778090894222,,,,,,1,0,,,,,,,10,room,
agricola-sat18-strips,p03.pddl,asp,interrupted,152.46840837970376,concrete_asp,,,,,,,60.19819821789861,,,38.53157910332084,,,,,,,,,,,,,,,,,
agricola-sat18-strips,p03.pddl,fd,success,86.59532408043742,total,83.906701,,,,,,,,83.885034,,,,,,,unchecked: No available engine supports all the problem features:,,,,,,83,,,,,
agricola-sat18-strips,p04.pddl,abstraction-asp,interrupted,284.4942022562027,abstract_asp,,0.7353830225765705,0.5189368203282356,25.405513808131218,2.9235531501471996,0.4681316539645195,63.74324154853821,59.483932454138994,,44.17069284245372,36.58123939484358,,,,,,1,0,,,,,,,10,room,
